story,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
11,1.2,1.5,1.5,1.9,0.9,1.8,1.8,2.0
12,1.18,1.27,1.73,1.64,1.55,1.91,1.64,1.82
13,0.33,1.33,1.0,1.11,0.67,1.33,1.56,2.0
14,0.57,1.29,0.86,1.14,1.43,1.88,1.62,2.0
21,1.0,0.62,1.0,1.38,1.62,0.75,2.0,1.75
22,0.8,1.4,1.3,1.4,0.4,0.5,1.5,1.1
23,1.0,1.2,1.0,1.3,1.8,1.1,1.9,2.0
24,1.33,1.58,0.75,0.5,1.33,1.83,1.83,1.83
31,1.22,0.44,0.78,1.78,0.67,1.0,1.22,1.78
32,1.1,0.8,1.1,0.8,1.8,1.3,1.1,1.0
33,0.18,0.64,1.09,1.27,1.82,1.18,1.27,1.0
34,0.8,0.4,0.5,1.0,1.0,2.0,0.8,1.3
41,0.91,0.91,1.55,1.82,1.91,1.73,1.64,1.27
42,1.22,0.78,1.56,0.33,1.78,2.0,1.89,2.0
43,0.64,1.36,1.55,1.73,0.45,1.36,1.27,1.27
44,0.56,0.78,0.56,1.22,1.67,1.89,1.33,1.0
